N° Factura,Archivo Fuente,N° Medidor,Propiedad,Constante,Lectura Anterior,Lectura Actual,Consumo kWh
26218922,Ago 2022 - VOGT.json,0000082475,Compañía,"300,00","81127,000","81279,000",45600
26218922,Ago 2022 - VOGT.json,0000082475R,Compañía,"300,00","27117,000","27193,000",22800
28917299,Ago 2023 - VOGT.json,0011268624,Compañía,"1000,00","0,000","135,805",135805
28917299,Ago 2023 - VOGT.json,0011268624R,Compañía,"1000,00","0,000","54,380",54380
31061687,Agosto 2024 - VOGT.json,0011268624,Compañía,"1000,00","593,580","624,569",30989
31061687,Agosto 2024 - VOGT.json,0011268624R,Compañía,"1000,00","217,671","217,671",0
26923948,Dic 2022 - VOGT.json,0000082475,Compañía,"300,00","81710,000","81842,000",39600
26923948,Dic 2022 - VOGT.json,0000082475R,Compañía,"300,00","27347,000","27395,000",14400
29530021,Dic 2023 - VOGT.json,0011268624,Compañía,"1000,00","259,529","297,812",38283
29530021,Dic 2023 - VOGT.json,0011268624R,Compañía,"1000,00","89,861","106,062",16201
27109613,Enero 2023 - VOGT.json,0000082475,Compañía,"300,00","81842,000","81976,000",40200
27109613,Enero 2023 - VOGT.json,0000082475R,Compañía,"300,00","27395,000","27446,000",15300
26047947,Jul 2022 - VOGT.json,0000082475,Compañía,"300,00","80991,000","81127,000",40800
26047947,Jul 2022 - VOGT.json,0000082475R,Compañía,"300,00","27035,000","27117,000",24600
28917299,Julio-Ago 2023 - VOGT.json,0011268624,Compañía,"1000,00","0,000","135,805",135805
28917299,Julio-Ago 2023 - VOGT.json,0011268624R,Compañía,"1000,00","0,000","54,380",54380
25883333,Jun 2022 - VOGT.json,0000082475,Compañía,"300,00","80880,000","80991,000",33300
25883333,Jun 2022 - VOGT.json,0000082475R,Compañía,"300,00","26948,000","27035,000",26100
28907715,Jun-Jul 2023 - VOGT.json,0000082475,Compañía,"300,00","82705,000","82743,000",11400
28907715,Jun-Jul 2023 - VOGT.json,0000082475R,Compañía,"300,00","27718,000","27731,000",3900
25835274,Mayo 2 2022 - VOGT.json,0000082475,Compañía,"300,00","80787,000","80880,000",27900
25835274,Mayo 2 2022 - VOGT.json,0000082475R,Compañía,"300,00","26878,000","26948,000",21000
25832880,Mayo 2022 - VOGT.json,0000082475,Compañía,"300,00","80711,000","80711,000",0
25832880,Mayo 2022 - VOGT.json,0000082475,Compañía,"300,00","80711,000","80787,000",22800
25832880,Mayo 2022 - VOGT.json,0000082475R,Compañía,"300,00","26819,000","26819,000",0
25832880,Mayo 2022 - VOGT.json,0000082475R,Compañía,"300,00","26819,000","26878,000",17700
26757988,Nov 2022 - VOGT.json,0000082475,Compañía,"300,00","81568,000","81710,000",42600
26757988,Nov 2022 - VOGT.json,0000082475R,Compañía,"300,00","27300,000","27347,000",14100
29324155,Nov 2023 - VOGT.json,0011268624,Compañía,"1000,00","220,196","259,529",39333
29324155,Nov 2023 - VOGT.json,0011268624R,Compañía,"1000,00","89,861","89,861",0
26580290,Oct 2022 - VOGT.json,0000082475,Compañía,"300,00","81440,000","81568,000",38400
26580290,Oct 2022 - VOGT.json,0000082475R,Compañía,"300,00","27253,000","27300,000",14100
29149775,Octubre 2023 - VOGT.json,0011268624,Compañía,"1000,00","181,292","220,196",38904
29149775,Octubre 2023 - VOGT.json,0011268624R,Compañía,"1000,00","73,132","89,861",16729
26388503,Sep 2022 - VOGT.json,0000082475,Compañía,"300,00","81279,000","81440,000",48300
26388503,Sep 2022 - VOGT.json,0000082475R,Compañía,"300,00","27193,000","27253,000",18000
29118912,Sep 2023 - VOGT.json,0011268624,Compañía,"1000,00","135,805","181,292",45487
29118912,Sep 2023 - VOGT.json,0011268624R,Compañía,"1000,00","54,380","73,132",18752
