N° Factura,Archivo Fuente,Consumo Activa (kWh),Consumo Reactiva (kVARh),FP Calculado,Clasificación FP,"Diferencia FP (0,93 - FP)",% Multa,Facturación Energía Base ($),Multa Estimada (Pesos),Multa Positiva?
26218922,Ago 2022 - VOGT.json,45600.00,22800.00,0.894,Ineficiente,0.036,3.6%,2866744,101.978,SI
28917299,Ago 2023 - VOGT.json,135805.00,54380.00,0.928,Ineficiente,0.002,0.2%,871587,1.447,SI
31061687,Agosto 2024 - VOGT.json,30989.00,0.00,1.000,Eficiente,0.000,0%,956803,N/A,NO
26923948,Dic 2022 - VOGT.json,39600.00,14400.00,0.940,Eficiente,0.000,0%,2489541,N/A,NO
29530021,Dic 2023 - VOGT.json,38283.00,16201.00,0.921,Ineficiente,0.009,0.9%,454571,4.123,SI
27109613,Enero 2023 - VOGT.json,40200.00,15300.00,0.935,Eficiente,0.000,0%,2527262,N/A,NO
26047947,Jul 2022 - VOGT.json,40800.00,24600.00,0.856,Ineficiente,0.074,7.4%,2564981,188.835,SI
28917299,Julio-Ago 2023 - VOGT.json,135805.00,54380.00,0.928,Ineficiente,0.002,0.2%,871587,1.447,SI
25883333,Jun 2022 - VOGT.json,33300.00,26100.00,0.787,Crítico,0.143,14.3%,2026149,289.626,SI
28907715,Jun-Jul 2023 - VOGT.json,11400.00,3900.00,0.946,Eficiente,0.000,0%,1884064,N/A,NO
25835274,Mayo 2 2022 - VOGT.json,27900.00,21000.00,0.799,Crítico,0.131,13.1%,1697584,222.438,SI
25832880,Mayo 2022 - VOGT.json,22800.00,17700.00,0.790,Crítico,0.140,14.0%,1387273,194.341,SI
26757988,Nov 2022 - VOGT.json,42600.00,14100.00,0.949,Eficiente,0.000,0%,2678142,N/A,NO
29324155,Nov 2023 - VOGT.json,39333.00,0.00,1.000,Eficiente,0.000,0%,572733,N/A,NO
26580290,Oct 2022 - VOGT.json,38400.00,14100.00,0.939,Eficiente,0.000,0%,2414101,N/A,NO
29149775,Octubre 2023 - VOGT.json,38904.00,16729.00,0.919,Ineficiente,0.011,1.1%,460931,5.224,SI
26388503,Sep 2022 - VOGT.json,48300.00,18000.00,0.937,Eficiente,0.000,0%,3036486,N/A,NO
29118912,Sep 2023 - VOGT.json,45487.00,18752.00,0.925,Ineficiente,0.005,0.5%,547508,3.000,SI
