Archivo Fuente,Nombre Cliente,R.U.T Cliente,N° Cliente (Enel),N° Factura,Fecha Emisión,Factura: Monto Neto,Factura: I.V.A.,Factura: Monto Exento,Factura: Monto Total,Item: Administración del servicio                                        669           AT43 AREA,Item: Electricidad Consumida,Item: Cargo por Servicio Público,Item: Transporte de electricidad,Item: Arriendo Medidor,Item: Multa por consumo reactivo,Item: Electricidad Consumida    361.241                               ATP AREA,Item: Cargo Fijo Mensual PDx,Item: Electricidad Consumida                         101.833         ATP AREA,Item: Facturación provisoria de energía (Sin Lectura)            143.640        ATP AREA,Item: Intereses de Mora,Item: Administración del servicio  669  Tarifa  AT43 AREA,Item: Administración del servicio                                              669    AT43 AREA,Item: Facturación provisoria de energía (Sin Lectura),Item: Facturación provisoria cargo por servicio publico (Sin lectura),Item: Facturación provisoria de transporte de electricidad (Sin lectura),Item: Saldo Anterior,Item: Electricidad Consumida                          874.552                          AT43 AREA,Item: Cargo Fondo de Estabilización Ley 21.472,Item: Dem. Horas punta,Item: Dem Max.,Item: Crg.Ley Estabilización Precios,Item: Cargo Fijo Mensual,Item: Cg.Dm.Mx.Pot.Hrs.Pta.PDx FC,Item: Cg.Dem.Max.Pot.Sum.PDx Fuera C,Item: Administración del servicio                           669                        AT43 AREA,Item: Electricidad Consumida     104.626                                 ATP AREA,Item: Administración del servicio                                        668           AT43 AREA,Item: Electricidad Consumida                                103.485      ATP AREA,Item: Electricidad Consumida                                120.995      ATP AREA
Ago 2022 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,26218922,08/08/2022,4.316.197,820.077,23.164,5.159.438,1,2.866.744,23.164,565.623,28.063,219.598,,,,,,,,,,,,,,,,,,,,,,,,
Ago 2023 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,,28917299,10/10/2023,871.587,165.602,,1.037.189,,,,,,,1,669,,,,,,,,,,,,,,,,,,,,,,
Agosto 2024 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,,31061687,07/09/2024,702.871,133.545,,836.416,,956.803,,,,,,695,,,,,,,,,,,,,,,,,,,,,,
Dic 2022 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,26923948,09/12/2022,3.719.537,706.712,39.483,4.465.732,1,2.489.541,39.483,491.198,29.390,,,,,,,,,,,,,,,,,,,,,,,,,
Dic 2023 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,,29530021,09/01/2024,454.571,86.368,,540.939,,,,,,,,669,1,,,,,,,,,,,,,,,,,,,,,
Enel_Ene2024.VOGT - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,,29736660,08/02/2024,506.064,96.152,,602.216,,,,,,4.539,,669,,1,5.147,,,,,,,,,,,,,,,,,,,
Enel_Feb2024_VOGT - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,,29938502,08/03/2024,496.378,94.312,,590.690,,,,,,,,669,,1,,,,,,,,,,,,,,,,,,,,
Enero 2023 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,27109613,10/01/2023,3.788.941,719.899,142.308,4.651.148,,2.527.262,142.308,501.858,29.618,,,,,,20.795,1,,,,,,,,,,,,,,,,,,
Feb 2022 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,25269313,08/02/2022,644.548,122.464,3.048,770.060,,,,,26.353,,,,,,,,1,363.050,3.048,64.458,,,,,,,,,,,,,,
Jul 2022 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,26047947,08/07/2022,3.970.602,754.414,20.727,4.745.743,1,2.564.981,20.727,448.905,27.713,356.200,,,,,,,,,,,,,,,,,,,,,,,,
Julio-Ago 2023 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,,28917299,10/10/2023,871.587,165.602,,1.037.189,,,,,,,1,669,,,,,,,,,,,,,,,,,,,,,,
Jun 2022 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,25883333,08/06/2022,3.201.659,608.315,16.917,3.826.891,1,2.026.149,16.917,357.742,27.233,271.732,,,,,,,,,,,7.264.232,,,,,,,,,,,,,
Jun-Jul 2023 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,,28907715,02/10/2023,1.884.064,357.972,39.198,2.281.234,,,5.321,125.704,15.157,,,,,,,,,,,,,1,21.548,410.212,241.760,9.658,669,101.672,114.338,,,,,
Mayo 2 2022 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,25835274,31/05/2022,2.645.636,502.671,14.173,3.162.480,1,1.697.584,14.173,299.730,27.013,227.976,,,,,,,,,,,4.604.423,,,,,,,,,,,,,
Mayo 2022 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,25832880,27/05/2022,1.900.768,361.146,11.583,2.273.497,,1.387.273,11.583,244.940,26.759,,,,,,,,,,,,2.692.072,,,,,,,,,1,,,,
Nov 2022 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,26757988,09/11/2022,3.945.026,749.555,21.641,4.716.222,1,2.678.142,21.641,528.410,29.066,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 2023 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,,29324155,11/12/2023,572.733,108.819,,681.552,,,,,,4.556,,669,,,110.813,,,,,,,,,,,,,,,,1,,,
Oct 2022 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,26580290,11/10/2022,3.239.381,615.482,19.507,3.874.370,,2.414.101,19.507,476.315,28.707,,,,,,,,,,,,,,,,,,,,,,,1,,
Octubre 2023 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,,29149775,09/11/2023,460.931,87.577,,548.508,,,,,,4.708,,669,,,,,,,,,,,,,,,,,,,,,1,
Sep 2022 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,1338543-2,26388503,08/09/2022,4.558.986,866.207,24.537,5.449.730,1,3.036.486,24.537,599.113,28.393,140.090,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2023 - VOGT.json,INDUSTRIA MECANICA VOGT S A . 96.800.570-7,96800570-7,,29118912,09/11/2023,547.508,104.027,,651.535,,,,,,,,669,,,76.020,,,,,,,,,,,,,,,,,,,1
